year,state,district,h_writein,h_special,h_runoff,h_winner,h_party,h_winVotes,h_totalVotes,h_runnerUp,h_ruParty,h_ruVotes,h_rawMargin,h_decMargin,p_winner,p_party,p_winVotes,p_totalVotes,p_runnerUp,p_ruParty,p_ruVotes,p_rawMargin,p_decMargin,s_writein,s_winner,s_party,s_winVotes,s_totalVotes,s_runnerUp,s_ruParty,s_ruVotes,s_rawMargin,s_decMargin
2018,Arizona,2,0.0,0.0,,Ann Kirkpatrick,democrat,161000.0,294152.0,Lea Marquez Peterson,republican,133083.0,27917.0,0.09490671489570024,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
2018,Arizona,3,0.0,0.0,,Raul Grijalva,democrat,114650.0,179518.0,"Nicolas """"Nick"""" Pierson",republican,64868.0,49782.0,0.27730923918492856,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
2018,Arizona,3,0.0,0.0,,Raul Grijalva,democrat,114650.0,179518.0,"Nicolas """"Nick"""" Pierson",republican,64868.0,49782.0,0.27730923918492856,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
2018,Arizona,3,0.0,0.0,,Raul Grijalva,democrat,114650.0,179518.0,"Nicolas """"Nick"""" Pierson",republican,64868.0,49782.0,0.27730923918492856,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
2018,Arizona,3,0.0,0.0,,Raul Grijalva,democrat,114650.0,179518.0,"Nicolas """"Nick"""" Pierson",republican,64868.0,49782.0,0.27730923918492856,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
2018,Arizona,4,0.0,0.0,,Paul Gosar,republican,188842.0,277035.0,David Brill,democrat,84521.0,104321.0,0.3765625282004079,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
2018,Arizona,4,0.0,0.0,,Paul Gosar,republican,188842.0,277035.0,David Brill,democrat,84521.0,104321.0,0.3765625282004079,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
2018,Arizona,4,0.0,0.0,,Paul Gosar,republican,188842.0,277035.0,David Brill,democrat,84521.0,104321.0,0.3765625282004079,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
2018,Arizona,4,0.0,0.0,,Paul Gosar,republican,188842.0,277035.0,David Brill,democrat,84521.0,104321.0,0.3765625282004079,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
2018,Arizona,5,0.0,0.0,,Andy Biggs,republican,186037.0,313064.0,Joan Greene,democrat,127027.0,59010.0,0.18849180998134568,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
2018,Arizona,5,0.0,0.0,,Andy Biggs,republican,186037.0,313064.0,Joan Greene,democrat,127027.0,59010.0,0.18849180998134568,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
2018,Arizona,5,0.0,0.0,,Andy Biggs,republican,186037.0,313064.0,Joan Greene,democrat,127027.0,59010.0,0.18849180998134568,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
2018,Arizona,5,0.0,0.0,,Andy Biggs,republican,186037.0,313064.0,Joan Greene,democrat,127027.0,59010.0,0.18849180998134568,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
2018,Arizona,6,0.0,0.0,,David Schweikert,republican,173140.0,313699.0,Anita Malik,democrat,140559.0,32581.0,0.1038607072384674,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
2018,Arizona,6,0.0,0.0,,David Schweikert,republican,173140.0,313699.0,Anita Malik,democrat,140559.0,32581.0,0.1038607072384674,,,,,,,,,,0.0,Kyrsten Sinema,democrat,1191100.0,2384308.0,Martha McSally,republican,1135200.0,55900.0,0.023444957614536355
