year,state,winner,party,winVotes,totalVotes,runnerUp,ruParty,ruVotes,rawMargin,decMargin
2000,Idaho,"Bush, George W.",republican,336937,501615,"Gore, Al",democrat,138637,198300,0.39532310636643647
2000,Idaho,"Bush, George W.",republican,336937,501615,"Gore, Al",democrat,138637,198300,0.39532310636643647
2004,Idaho,"Bush, George W.",republican,409235,598376,"Kerry, John",democrat,181098,228137,0.38126027781862903
2004,Idaho,"Bush, George W.",republican,409235,598376,"Kerry, John",democrat,181098,228137,0.38126027781862903
2008,Idaho,"McCain, John",republican,403012,655122,"Obama, Barack H.",democrat,236440,166572,0.2542610384020076
2008,Idaho,"McCain, John",republican,403012,655122,"Obama, Barack H.",democrat,236440,166572,0.2542610384020076
2012,Idaho,"Romney, Mitt",republican,420911,652274,"Obama, Barack H.",democrat,212787,208124,0.3190744993668305
2012,Idaho,"Romney, Mitt",republican,420911,652274,"Obama, Barack H.",democrat,212787,208124,0.3190744993668305
2016,Idaho,"Trump, Donald J.",republican,409055,690255,"Clinton, Hillary",democrat,189765,219290,0.3176941854821768
2016,Idaho,"Trump, Donald J.",republican,409055,690255,"Clinton, Hillary",democrat,189765,219290,0.3176941854821768
2000,Illinois,"Gore, Al",democrat,2589026,4742108,"Bush, George W.",republican,2019421,569605,0.12011641236344678
2000,Illinois,"Gore, Al",democrat,2589026,4742108,"Bush, George W.",republican,2019421,569605,0.12011641236344678
2004,Illinois,"Kerry, John",democrat,2891550,5274322,"Bush, George W.",republican,2345946,545604,0.10344533382679322
2004,Illinois,"Kerry, John",democrat,2891550,5274322,"Bush, George W.",republican,2345946,545604,0.10344533382679322
2008,Illinois,"Obama, Barack H.",democrat,3419348,5522371,"McCain, John",republican,2031179,1388169,0.2513719197786603
2008,Illinois,"Obama, Barack H.",democrat,3419348,5522371,"McCain, John",republican,2031179,1388169,0.2513719197786603
2012,Illinois,"Obama, Barack H.",democrat,3019512,5242014,"Romney, Mitt",republican,2135216,884296,0.1686939409166019
2012,Illinois,"Obama, Barack H.",democrat,3019512,5242014,"Romney, Mitt",republican,2135216,884296,0.1686939409166019
2016,Illinois,"Clinton, Hillary",democrat,3090729,5536424,"Trump, Donald J.",republican,2146015,944714,0.17063613624968027
2016,Illinois,"Clinton, Hillary",democrat,3090729,5536424,"Trump, Donald J.",republican,2146015,944714,0.17063613624968027
2000,Indiana,"Bush, George W.",republican,1245836,2199302,"Gore, Al",democrat,901980,343856,0.15634778670687333
2000,Indiana,"Bush, George W.",republican,1245836,2199302,"Gore, Al",democrat,901980,343856,0.15634778670687333
2004,Indiana,"Bush, George W.",republican,1479438,2468002,"Kerry, John",democrat,969011,510427,0.20681790371320602
2004,Indiana,"Bush, George W.",republican,1479438,2468002,"Kerry, John",democrat,969011,510427,0.20681790371320602
2008,Indiana,"Obama, Barack H.",democrat,1374039,2751054,"McCain, John",republican,1345648,28391,0.010320044608357393
2008,Indiana,"Obama, Barack H.",democrat,1374039,2751054,"McCain, John",republican,1345648,28391,0.010320044608357393
2012,Indiana,"Romney, Mitt",republican,1420543,2624534,"Obama, Barack H.",democrat,1152887,267656,0.10198229476166054
2012,Indiana,"Romney, Mitt",republican,1420543,2624534,"Obama, Barack H.",democrat,1152887,267656,0.10198229476166054
2016,Indiana,"Trump, Donald J.",republican,1557286,2734958,"Clinton, Hillary",democrat,1033126,524160,0.19165193761659233
2016,Indiana,"Trump, Donald J.",republican,1557286,2734958,"Clinton, Hillary",democrat,1033126,524160,0.19165193761659233
2000,Iowa,"Gore, Al",democrat,638517,1353022,"Bush, George W.",republican,634373,4144,0.003062773554310283
2000,Iowa,"Gore, Al",democrat,638517,1353022,"Bush, George W.",republican,634373,4144,0.003062773554310283
2004,Iowa,"Bush, George W.",republican,751957,1506908,"Kerry, John",democrat,741898,10059,0.0066752582108529634
2004,Iowa,"Bush, George W.",republican,751957,1506908,"Kerry, John",democrat,741898,10059,0.0066752582108529634
2008,Iowa,"Obama, Barack H.",democrat,828940,1537123,"McCain, John",republican,682379,146561,0.0953476071856319
2008,Iowa,"Obama, Barack H.",democrat,828940,1537123,"McCain, John",republican,682379,146561,0.0953476071856319
2012,Iowa,"Obama, Barack H.",democrat,822544,1582180,"Romney, Mitt",republican,730617,91927,0.05810148023612988
2012,Iowa,"Obama, Barack H.",democrat,822544,1582180,"Romney, Mitt",republican,730617,91927,0.05810148023612988
2016,Iowa,"Trump, Donald J.",republican,800983,1565580,"Clinton, Hillary",democrat,653669,147314,0.09409547899181131
2016,Iowa,"Trump, Donald J.",republican,800983,1565580,"Clinton, Hillary",democrat,653669,147314,0.09409547899181131
2000,Kansas,"Bush, George W.",republican,622332,1072216,"Gore, Al",democrat,399276,223056,0.20803270982712435
2000,Kansas,"Bush, George W.",republican,622332,1072216,"Gore, Al",democrat,399276,223056,0.20803270982712435
2004,Kansas,"Bush, George W.",republican,736456,1187756,"Kerry, John",democrat,434993,301463,0.25380886309982864
2004,Kansas,"Bush, George W.",republican,736456,1187756,"Kerry, John",democrat,434993,301463,0.25380886309982864
2008,Kansas,"McCain, John",republican,699655,1235872,"Obama, Barack H.",democrat,514765,184890,0.14960287149478269
2008,Kansas,"McCain, John",republican,699655,1235872,"Obama, Barack H.",democrat,514765,184890,0.14960287149478269
