year,state,winner,party,winVotes,totalVotes,runnerUp,ruParty,ruVotes,rawMargin,decMargin
2008,New Jersey,"Obama, Barack H.",democrat,2215422,3868237,"McCain, John",republican,1613207,602215,0.15568203292611082
2008,New Jersey,"Obama, Barack H.",democrat,2215422,3868237,"McCain, John",republican,1613207,602215,0.15568203292611082
2012,New Jersey,"Obama, Barack H.",democrat,2122786,3638499,"Romney, Mitt",republican,1478088,644698,0.17718790083493224
2012,New Jersey,"Obama, Barack H.",democrat,2122786,3638499,"Romney, Mitt",republican,1478088,644698,0.17718790083493224
2016,New Jersey,"Clinton, Hillary",democrat,2148278,3874046,"Trump, Donald J.",republican,1601933,546345,0.14102697799664748
2016,New Jersey,"Clinton, Hillary",democrat,2148278,3874046,"Trump, Donald J.",republican,1601933,546345,0.14102697799664748
2000,New Mexico,"Gore, Al",democrat,286783,598605,"Bush, George W.",republican,286417,366,0.000611421555115621
2000,New Mexico,"Gore, Al",democrat,286783,598605,"Bush, George W.",republican,286417,366,0.000611421555115621
2004,New Mexico,"Bush, George W.",republican,376930,756304,"Kerry, John",democrat,370942,5988,0.007917451183651003
2004,New Mexico,"Bush, George W.",republican,376930,756304,"Kerry, John",democrat,370942,5988,0.007917451183651003
2008,New Mexico,"Obama, Barack H.",democrat,472422,830158,"McCain, John",republican,346832,125590,0.15128445428460613
2008,New Mexico,"Obama, Barack H.",democrat,472422,830158,"McCain, John",republican,346832,125590,0.15128445428460613
2012,New Mexico,"Obama, Barack H.",democrat,415335,783758,"Romney, Mitt",republican,335788,79547,0.10149433881376646
2012,New Mexico,"Obama, Barack H.",democrat,415335,783758,"Romney, Mitt",republican,335788,79547,0.10149433881376646
2016,New Mexico,"Clinton, Hillary",democrat,385234,798319,"Trump, Donald J.",republican,319667,65567,0.0821313284539138
2016,New Mexico,"Clinton, Hillary",democrat,385234,798319,"Trump, Donald J.",republican,319667,65567,0.0821313284539138
2000,New York,"Gore, Al",democrat,3942215,6960215,"Bush, George W.",republican,2258577,1683638,0.2418945391773099
2000,New York,"Gore, Al",democrat,3942215,6960215,"Bush, George W.",republican,2258577,1683638,0.2418945391773099
2004,New York,"Kerry, John",democrat,4180755,7448266,"Bush, George W.",republican,2806993,1373762,0.18444051273141965
2004,New York,"Kerry, John",democrat,4180755,7448266,"Bush, George W.",republican,2806993,1373762,0.18444051273141965
2008,New York,"Obama, Barack H.",democrat,4645332,7722019,"McCain, John",republican,2418323,2227009,0.2883972442958247
2008,New York,"Obama, Barack H.",democrat,4645332,7722019,"McCain, John",republican,2418323,2227009,0.2883972442958247
2012,New York,"Obama, Barack H.",democrat,4324228,7116784,"Romney, Mitt",republican,2223397,2100831,0.29519386846643086
2012,New York,"Obama, Barack H.",democrat,4324228,7116784,"Romney, Mitt",republican,2223397,2100831,0.29519386846643086
2016,New York,"Clinton, Hillary",democrat,4379789,7802084,"Trump, Donald J.",republican,2527142,1852647,0.23745540294106032
2016,New York,"Clinton, Hillary",democrat,4379789,7802084,"Trump, Donald J.",republican,2527142,1852647,0.23745540294106032
2000,North Carolina,"Bush, George W.",republican,1631163,2914990,"Gore, Al",democrat,1257692,373471,0.12812085118645344
2000,North Carolina,"Bush, George W.",republican,1631163,2914990,"Gore, Al",democrat,1257692,373471,0.12812085118645344
2004,North Carolina,"Bush, George W.",republican,1961166,3501007,"Kerry, John",democrat,1525849,435317,0.12434051117292821
2004,North Carolina,"Bush, George W.",republican,1961166,3501007,"Kerry, John",democrat,1525849,435317,0.12434051117292821
2008,North Carolina,"Obama, Barack H.",democrat,2142651,4310851,"McCain, John",republican,2128474,14177,0.003288677803988116
2008,North Carolina,"Obama, Barack H.",democrat,2142651,4310851,"McCain, John",republican,2128474,14177,0.003288677803988116
2012,North Carolina,"Romney, Mitt",republican,2270395,4505372,"Obama, Barack H.",democrat,2178391,92004,0.020420955250753936
2012,North Carolina,"Romney, Mitt",republican,2270395,4505372,"Obama, Barack H.",democrat,2178391,92004,0.020420955250753936
2016,North Carolina,"Trump, Donald J.",republican,2362631,4741564,"Clinton, Hillary",democrat,2189316,173315,0.036552285279709384
2016,North Carolina,"Trump, Donald J.",republican,2362631,4741564,"Clinton, Hillary",democrat,2189316,173315,0.036552285279709384
2000,North Dakota,"Bush, George W.",republican,174852,288256,"Gore, Al",democrat,95284,79568,0.2760324156305506
2000,North Dakota,"Bush, George W.",republican,174852,288256,"Gore, Al",democrat,95284,79568,0.2760324156305506
2004,North Dakota,"Bush, George W.",republican,196651,312833,"Kerry, John",democrat,111052,85599,0.27362522496028235
2004,North Dakota,"Bush, George W.",republican,196651,312833,"Kerry, John",democrat,111052,85599,0.27362522496028235
2008,North Dakota,"McCain, John",republican,168601,316621,"Obama, Barack H.",democrat,141278,27323,0.0862956026290107
2008,North Dakota,"McCain, John",republican,168601,316621,"Obama, Barack H.",democrat,141278,27323,0.0862956026290107
2012,North Dakota,"Romney, Mitt",republican,188320,322932,"Obama, Barack H.",democrat,124966,63354,0.196183716695775
2012,North Dakota,"Romney, Mitt",republican,188320,322932,"Obama, Barack H.",democrat,124966,63354,0.196183716695775
2016,North Dakota,"Trump, Donald J.",republican,216794,344360,"Clinton, Hillary",democrat,93758,123036,0.35728888372633294
2016,North Dakota,"Trump, Donald J.",republican,216794,344360,"Clinton, Hillary",democrat,93758,123036,0.35728888372633294
2000,Ohio,"Bush, George W.",republican,2350363,4701998,"Gore, Al",democrat,2183628,166735,0.03546045744808907
2000,Ohio,"Bush, George W.",republican,2350363,4701998,"Gore, Al",democrat,2183628,166735,0.03546045744808907
2004,Ohio,"Bush, George W.",republican,2859764,5627903,"Kerry, John",democrat,2741165,118599,0.021073390923759705
2004,Ohio,"Bush, George W.",republican,2859764,5627903,"Kerry, John",democrat,2741165,118599,0.021073390923759705
2008,Ohio,"Obama, Barack H.",democrat,2940044,5708350,"McCain, John",republican,2677820,262224,0.04593691697250518
2008,Ohio,"Obama, Barack H.",democrat,2940044,5708350,"McCain, John",republican,2677820,262224,0.04593691697250518
2012,Ohio,"Obama, Barack H.",democrat,2827621,5580822,"Romney, Mitt",republican,2661407,166214,0.029783067798972995
2012,Ohio,"Obama, Barack H.",democrat,2827621,5580822,"Romney, Mitt",republican,2661407,166214,0.029783067798972995
2016,Ohio,"Trump, Donald J.",republican,2841005,5496487,"Clinton, Hillary",democrat,2394164,446841,0.0812957439906617
2016,Ohio,"Trump, Donald J.",republican,2841005,5496487,"Clinton, Hillary",democrat,2394164,446841,0.0812957439906617
2000,Oklahoma,"Bush, George W.",republican,744337,1234229,"Gore, Al",democrat,474276,270061,0.21880947538908901
2000,Oklahoma,"Bush, George W.",republican,744337,1234229,"Gore, Al",democrat,474276,270061,0.21880947538908901
2004,Oklahoma,"Bush, George W.",republican,959792,1463758,"Kerry, John",democrat,503966,455826,0.31140803329512123
2004,Oklahoma,"Bush, George W.",republican,959792,1463758,"Kerry, John",democrat,503966,455826,0.31140803329512123
2008,Oklahoma,"McCain, John",republican,960165,1462661,"Obama, Barack H.",democrat,502496,457669,0.31290162245387004
2008,Oklahoma,"McCain, John",republican,960165,1462661,"Obama, Barack H.",democrat,502496,457669,0.31290162245387004
2012,Oklahoma,"Romney, Mitt",republican,891325,1334872,"Obama, Barack H.",democrat,443547,447778,0.33544639486033123
2012,Oklahoma,"Romney, Mitt",republican,891325,1334872,"Obama, Barack H.",democrat,443547,447778,0.33544639486033123
2016,Oklahoma,"Trump, Donald J.",republican,949136,1452992,"Clinton, Hillary",democrat,420375,528761,0.36391184535083465
2016,Oklahoma,"Trump, Donald J.",republican,949136,1452992,"Clinton, Hillary",democrat,420375,528761,0.36391184535083465
2000,Oregon,"Gore, Al",democrat,720342,1533950,"Bush, George W.",republican,713577,6765,0.004410182861240564
2000,Oregon,"Gore, Al",democrat,720342,1533950,"Bush, George W.",republican,713577,6765,0.004410182861240564
2004,Oregon,"Kerry, John",democrat,943163,1836782,"Bush, George W.",republican,866831,76332,0.0415574629977864
2004,Oregon,"Kerry, John",democrat,943163,1836782,"Bush, George W.",republican,866831,76332,0.0415574629977864
2008,Oregon,"Obama, Barack H.",democrat,1037291,1827864,"McCain, John",republican,738475,298816,0.16347824564628444
2008,Oregon,"Obama, Barack H.",democrat,1037291,1827864,"McCain, John",republican,738475,298816,0.16347824564628444
2012,Oregon,"Obama, Barack H.",democrat,970488,1789270,"Romney, Mitt",republican,754175,216313,0.12089455476255678
2012,Oregon,"Obama, Barack H.",democrat,970488,1789270,"Romney, Mitt",republican,754175,216313,0.12089455476255678
2016,Oregon,"Clinton, Hillary",democrat,1002106,2001336,"Trump, Donald J.",republican,782403,219703,0.10977816818365327
2016,Oregon,"Clinton, Hillary",democrat,1002106,2001336,"Trump, Donald J.",republican,782403,219703,0.10977816818365327
2000,Pennsylvania,"Gore, Al",democrat,2485967,4912185,"Bush, George W.",republican,2281127,204840,0.041700383841406674
2000,Pennsylvania,"Gore, Al",democrat,2485967,4912185,"Bush, George W.",republican,2281127,204840,0.041700383841406674
2004,Pennsylvania,"Kerry, John",democrat,2938095,5769590,"Bush, George W.",republican,2793847,144248,0.025001429910964212
2004,Pennsylvania,"Kerry, John",democrat,2938095,5769590,"Bush, George W.",republican,2793847,144248,0.025001429910964212
2008,Pennsylvania,"Obama, Barack H.",democrat,3276363,6013272,"McCain, John",republican,2655885,620478,0.10318475532122945
2008,Pennsylvania,"Obama, Barack H.",democrat,3276363,6013272,"McCain, John",republican,2655885,620478,0.10318475532122945
2012,Pennsylvania,"Obama, Barack H.",democrat,2990274,5742040,"Romney, Mitt",republican,2680434,309840,0.053959916684662546
2012,Pennsylvania,"Obama, Barack H.",democrat,2990274,5742040,"Romney, Mitt",republican,2680434,309840,0.053959916684662546
2016,Pennsylvania,"Trump, Donald J.",republican,2970733,6115402,"Clinton, Hillary",democrat,2926441,44292,0.007242696391831671
2016,Pennsylvania,"Trump, Donald J.",republican,2970733,6115402,"Clinton, Hillary",democrat,2926441,44292,0.007242696391831671
2000,Rhode Island,"Gore, Al",democrat,249508,409112,"Bush, George W.",republican,130555,118953,0.2907590097577191
2000,Rhode Island,"Gore, Al",democrat,249508,409112,"Bush, George W.",republican,130555,118953,0.2907590097577191
2004,Rhode Island,"Kerry, John",democrat,259760,437134,"Bush, George W.",republican,169046,90714,0.20751989092589457
2004,Rhode Island,"Kerry, John",democrat,259760,437134,"Bush, George W.",republican,169046,90714,0.20751989092589457
2008,Rhode Island,"Obama, Barack H.",democrat,296571,471766,"McCain, John",republican,165391,131180,0.27806158137720816
2008,Rhode Island,"Obama, Barack H.",democrat,296571,471766,"McCain, John",republican,165391,131180,0.27806158137720816
2012,Rhode Island,"Obama, Barack H.",democrat,279677,446049,"Romney, Mitt",republican,157204,122473,0.27457297292449934
2012,Rhode Island,"Obama, Barack H.",democrat,279677,446049,"Romney, Mitt",republican,157204,122473,0.27457297292449934
2016,Rhode Island,"Clinton, Hillary",democrat,252525,464144,"Trump, Donald J.",republican,180543,71982,0.15508549070977978
2016,Rhode Island,"Clinton, Hillary",democrat,252525,464144,"Trump, Donald J.",republican,180543,71982,0.15508549070977978
2000,South Carolina,"Bush, George W.",republican,786892,1383902,"Gore, Al",democrat,566037,220855,0.15958861248845657
2000,South Carolina,"Bush, George W.",republican,786892,1383902,"Gore, Al",democrat,566037,220855,0.15958861248845657
2004,South Carolina,"Bush, George W.",republican,937974,1617700,"Kerry, John",democrat,661669,276305,0.1708011374173209
2004,South Carolina,"Bush, George W.",republican,937974,1617700,"Kerry, John",democrat,661669,276305,0.1708011374173209
2008,South Carolina,"McCain, John",republican,1034896,1920969,"Obama, Barack H.",democrat,862449,172447,0.08977083961271626
2008,South Carolina,"McCain, John",republican,1034896,1920969,"Obama, Barack H.",democrat,862449,172447,0.08977083961271626
2012,South Carolina,"Romney, Mitt",republican,1071645,1964118,"Obama, Barack H.",democrat,865941,205704,0.10473097848499935
2012,South Carolina,"Romney, Mitt",republican,1071645,1964118,"Obama, Barack H.",democrat,865941,205704,0.10473097848499935
2016,South Carolina,"Trump, Donald J.",republican,1155389,2103027,"Clinton, Hillary",democrat,855373,300016,0.14265912896030342
2016,South Carolina,"Trump, Donald J.",republican,1155389,2103027,"Clinton, Hillary",democrat,855373,300016,0.14265912896030342
2000,South Dakota,"Bush, George W.",republican,190700,316269,"Gore, Al",democrat,118804,71896,0.2273254729360133
2000,South Dakota,"Bush, George W.",republican,190700,316269,"Gore, Al",democrat,118804,71896,0.2273254729360133
2004,South Dakota,"Bush, George W.",republican,232584,388215,"Kerry, John",democrat,149244,83340,0.21467485800394115
2004,South Dakota,"Bush, George W.",republican,232584,388215,"Kerry, John",democrat,149244,83340,0.21467485800394115
2008,South Dakota,"McCain, John",republican,203054,381975,"Obama, Barack H.",democrat,170924,32130,0.08411545258197528
2008,South Dakota,"McCain, John",republican,203054,381975,"Obama, Barack H.",democrat,170924,32130,0.08411545258197528
2012,South Dakota,"Romney, Mitt",republican,210610,363815,"Obama, Barack H.",democrat,145039,65571,0.1802317111718868
2012,South Dakota,"Romney, Mitt",republican,210610,363815,"Obama, Barack H.",democrat,145039,65571,0.1802317111718868
2016,South Dakota,"Trump, Donald J.",republican,227721,370093,"Clinton, Hillary",democrat,117458,110263,0.2979332221900981
2016,South Dakota,"Trump, Donald J.",republican,227721,370093,"Clinton, Hillary",democrat,117458,110263,0.2979332221900981
2000,Tennessee,"Bush, George W.",republican,1061949,2076181,"Gore, Al",democrat,981720,80229,0.03864258463014547
2000,Tennessee,"Bush, George W.",republican,1061949,2076181,"Gore, Al",democrat,981720,80229,0.03864258463014547
2004,Tennessee,"Bush, George W.",republican,1384375,2437319,"Kerry, John",democrat,1036477,347898,0.1427379838256707
2004,Tennessee,"Bush, George W.",republican,1384375,2437319,"Kerry, John",democrat,1036477,347898,0.1427379838256707
2008,Tennessee,"McCain, John",republican,1479178,2599749,"Obama, Barack H.",democrat,1087437,391741,0.15068416220181252
2008,Tennessee,"McCain, John",republican,1479178,2599749,"Obama, Barack H.",democrat,1087437,391741,0.15068416220181252
2012,Tennessee,"Romney, Mitt",republican,1462330,2458577,"Obama, Barack H.",democrat,960709,501621,0.20402899726142393
2012,Tennessee,"Romney, Mitt",republican,1462330,2458577,"Obama, Barack H.",democrat,960709,501621,0.20402899726142393
2016,Tennessee,"Trump, Donald J.",republican,1522925,2508027,"Clinton, Hillary",democrat,870695,652230,0.2600570089556452
2016,Tennessee,"Trump, Donald J.",republican,1522925,2508027,"Clinton, Hillary",democrat,870695,652230,0.2600570089556452
2000,Texas,"Bush, George W.",republican,3799639,6407637,"Gore, Al",democrat,2433746,1365893,0.21316641376532408
2000,Texas,"Bush, George W.",republican,3799639,6407637,"Gore, Al",democrat,2433746,1365893,0.21316641376532408
2004,Texas,"Bush, George W.",republican,4526917,7410749,"Kerry, John",democrat,2832704,1694213,0.22861562306320188
2004,Texas,"Bush, George W.",republican,4526917,7410749,"Kerry, John",democrat,2832704,1694213,0.22861562306320188
2008,Texas,"McCain, John",republican,4479328,8077795,"Obama, Barack H.",democrat,3528633,950695,0.11769239006436782
2008,Texas,"McCain, John",republican,4479328,8077795,"Obama, Barack H.",democrat,3528633,950695,0.11769239006436782
2012,Texas,"Romney, Mitt",republican,4569843,7993851,"Obama, Barack H.",democrat,3308124,1261719,0.15783619184295533
2012,Texas,"Romney, Mitt",republican,4569843,7993851,"Obama, Barack H.",democrat,3308124,1261719,0.15783619184295533
2016,Texas,"Trump, Donald J.",republican,4685047,8969226,"Clinton, Hillary",democrat,3877868,807179,0.08999427598323423
2016,Texas,"Trump, Donald J.",republican,4685047,8969226,"Clinton, Hillary",democrat,3877868,807179,0.08999427598323423
2000,Utah,"Bush, George W.",republican,515096,770754,"Gore, Al",democrat,203053,312043,0.4048542076979166
2000,Utah,"Bush, George W.",republican,515096,770754,"Gore, Al",democrat,203053,312043,0.4048542076979166
2004,Utah,"Bush, George W.",republican,663742,927844,"Kerry, John",democrat,241199,422543,0.45540306344601034
2004,Utah,"Bush, George W.",republican,663742,927844,"Kerry, John",democrat,241199,422543,0.45540306344601034
2008,Utah,"McCain, John",republican,596030,952370,"Obama, Barack H.",democrat,327670,268360,0.28178124048426556
2008,Utah,"McCain, John",republican,596030,952370,"Obama, Barack H.",democrat,327670,268360,0.28178124048426556
2012,Utah,"Romney, Mitt",republican,740600,1017440,"Obama, Barack H.",democrat,251813,488787,0.4804086727472873
2012,Utah,"Romney, Mitt",republican,740600,1017440,"Obama, Barack H.",democrat,251813,488787,0.4804086727472873
2016,Utah,"Trump, Donald J.",republican,515211,1131317,"Clinton, Hillary",democrat,310674,204537,0.18079547995831408
2016,Utah,"Trump, Donald J.",republican,515211,1131317,"Clinton, Hillary",democrat,310674,204537,0.18079547995831408
2000,Vermont,"Gore, Al",democrat,149022,294308,"Bush, George W.",republican,119775,29247,0.09937548418663444
2000,Vermont,"Gore, Al",democrat,149022,294308,"Bush, George W.",republican,119775,29247,0.09937548418663444
2004,Vermont,"Kerry, John",democrat,184067,312309,"Bush, George W.",republican,121180,62887,0.20136147213176697
2004,Vermont,"Kerry, John",democrat,184067,312309,"Bush, George W.",republican,121180,62887,0.20136147213176697
2008,Vermont,"Obama, Barack H.",democrat,219262,325046,"McCain, John",republican,98974,120288,0.37006454471059486
2008,Vermont,"Obama, Barack H.",democrat,219262,325046,"McCain, John",republican,98974,120288,0.37006454471059486
2012,Vermont,"Obama, Barack H.",democrat,199239,299290,"Romney, Mitt",republican,92698,106541,0.35597915065655383
2012,Vermont,"Obama, Barack H.",democrat,199239,299290,"Romney, Mitt",republican,92698,106541,0.35597915065655383
2016,Vermont,"Clinton, Hillary",democrat,178573,320467,"Trump, Donald J.",republican,95369,83204,0.2596335972190584
2016,Vermont,"Clinton, Hillary",democrat,178573,320467,"Trump, Donald J.",republican,95369,83204,0.2596335972190584
2000,Virginia,"Bush, George W.",republican,1437490,2739447,"Gore, Al",democrat,1217290,220200,0.08038118642193115
2000,Virginia,"Bush, George W.",republican,1437490,2739447,"Gore, Al",democrat,1217290,220200,0.08038118642193115
2004,Virginia,"Bush, George W.",republican,1716959,3195415,"Kerry, John",democrat,1454742,262217,0.08206038965204837
2004,Virginia,"Bush, George W.",republican,1716959,3195415,"Kerry, John",democrat,1454742,262217,0.08206038965204837
2008,Virginia,"Obama, Barack H.",democrat,1959532,3723260,"McCain, John",republican,1725005,234527,0.06298969182920344
2008,Virginia,"Obama, Barack H.",democrat,1959532,3723260,"McCain, John",republican,1725005,234527,0.06298969182920344
2012,Virginia,"Obama, Barack H.",democrat,1971820,3854489,"Romney, Mitt",republican,1822522,149298,0.038733538998295236
2012,Virginia,"Obama, Barack H.",democrat,1971820,3854489,"Romney, Mitt",republican,1822522,149298,0.038733538998295236
2016,Virginia,"Clinton, Hillary",democrat,1981473,3982752,"Trump, Donald J.",republican,1769443,212030,0.053237058194936515
2016,Virginia,"Clinton, Hillary",democrat,1981473,3982752,"Trump, Donald J.",republican,1769443,212030,0.053237058194936515
2000,Washington,"Gore, Al",democrat,1247652,2487433,"Bush, George W.",republican,1108864,138788,0.05579567369251759
2000,Washington,"Gore, Al",democrat,1247652,2487433,"Bush, George W.",republican,1108864,138788,0.05579567369251759
2004,Washington,"Kerry, John",democrat,1510201,2859084,"Bush, George W.",republican,1304894,205307,0.07180866319422585
2004,Washington,"Kerry, John",democrat,1510201,2859084,"Bush, George W.",republican,1304894,205307,0.07180866319422585
2008,Washington,"Obama, Barack H.",democrat,1750848,3036878,"McCain, John",republican,1229216,521632,0.1717658727153346
2008,Washington,"Obama, Barack H.",democrat,1750848,3036878,"McCain, John",republican,1229216,521632,0.1717658727153346
2012,Washington,"Obama, Barack H.",democrat,1755396,3125516,"Mitt, Romney",republican,1290670,464726,0.14868776867563632
2012,Washington,"Obama, Barack H.",democrat,1755396,3125516,"Mitt, Romney",republican,1290670,464726,0.14868776867563632
2016,Washington,"Clinton, Hillary",democrat,1742718,3317019,"Trump, Donald J.",republican,1221747,520971,0.1570599987518913
2016,Washington,"Clinton, Hillary",democrat,1742718,3317019,"Trump, Donald J.",republican,1221747,520971,0.1570599987518913
2000,West Virginia,"Bush, George W.",republican,336475,648124,"Gore, Al",democrat,295497,40978,0.0632255556035573
2000,West Virginia,"Bush, George W.",republican,336475,648124,"Gore, Al",democrat,295497,40978,0.0632255556035573
2004,West Virginia,"Bush, George W.",republican,423778,755792,"Kerry, John",democrat,326541,97237,0.1286557677244533
2004,West Virginia,"Bush, George W.",republican,423778,755792,"Kerry, John",democrat,326541,97237,0.1286557677244533
2008,West Virginia,"McCain, John",republican,397466,713451,"Obama, Barack H.",democrat,303857,93609,0.1312059272465803
2008,West Virginia,"McCain, John",republican,397466,713451,"Obama, Barack H.",democrat,303857,93609,0.1312059272465803
2012,West Virginia,"Romney, Mitt",republican,417655,670438,"Obama, Barack H.",democrat,238269,179386,0.2675653826304595
2012,West Virginia,"Romney, Mitt",republican,417655,670438,"Obama, Barack H.",democrat,238269,179386,0.2675653826304595
2016,West Virginia,"Trump, Donald J.",republican,489371,713051,"Clinton, Hillary",democrat,188794,300577,0.42153646793847843
2016,West Virginia,"Trump, Donald J.",republican,489371,713051,"Clinton, Hillary",democrat,188794,300577,0.42153646793847843
2000,Wisconsin,"Gore, Al",democrat,1242987,2598607,"Bush, George W.",republican,1237279,5708,0.0021965614654312904
2000,Wisconsin,"Gore, Al",democrat,1242987,2598607,"Bush, George W.",republican,1237279,5708,0.0021965614654312904
2004,Wisconsin,"Kerry, John",democrat,1489504,2997007,"Bush, George W.",republican,1478120,11384,0.0037984562598619154
2004,Wisconsin,"Kerry, John",democrat,1489504,2997007,"Bush, George W.",republican,1478120,11384,0.0037984562598619154
2008,Wisconsin,"Obama, Barack H.",democrat,1677211,2983417,"McCain, John",republican,1262393,414818,0.13904124029594256
2008,Wisconsin,"Obama, Barack H.",democrat,1677211,2983417,"McCain, John",republican,1262393,414818,0.13904124029594256
2012,Wisconsin,"Obama, Barack H.",democrat,1620985,3071434,"Romney, Mitt",republican,1410966,210019,0.06837815821534832
2012,Wisconsin,"Obama, Barack H.",democrat,1620985,3071434,"Romney, Mitt",republican,1410966,210019,0.06837815821534832
2016,Wisconsin,"Trump, Donald J.",republican,1405284,2976150,"Clinton, Hillary",democrat,1382536,22748,0.007643431950674573
2016,Wisconsin,"Trump, Donald J.",republican,1405284,2976150,"Clinton, Hillary",democrat,1382536,22748,0.007643431950674573
2000,Wyoming,"Bush, George W.",republican,147947,213726,"Gore, Al",democrat,60481,87466,0.40924361097854256
2000,Wyoming,"Bush, George W.",republican,147947,213726,"Gore, Al",democrat,60481,87466,0.40924361097854256
2004,Wyoming,"Bush, George W.",republican,167629,243861,"Kerry, John",democrat,70776,96853,0.3971647782958324
2004,Wyoming,"Bush, George W.",republican,167629,243861,"Kerry, John",democrat,70776,96853,0.3971647782958324
2008,Wyoming,"McCain, John",republican,164958,254904,"Obama, Barack H.",democrat,82868,82090,0.3220428082729185
2008,Wyoming,"McCain, John",republican,164958,254904,"Obama, Barack H.",democrat,82868,82090,0.3220428082729185
2012,Wyoming,"Romney, Mitt",republican,170962,250701,"Obama, Barack H.",democrat,69286,101676,0.40556679071882445
2012,Wyoming,"Romney, Mitt",republican,170962,250701,"Obama, Barack H.",democrat,69286,101676,0.40556679071882445
2016,Wyoming,"Trump, Donald J.",republican,174419,258788,"Clinton, Hillary",democrat,55973,118446,0.4576951017821538
2016,Wyoming,"Trump, Donald J.",republican,174419,258788,"Clinton, Hillary",democrat,55973,118446,0.4576951017821538
