year,state,district,h_writein,h_special,h_runoff,h_winner,h_party,h_winVotes,h_totalVotes,h_runnerUp,h_ruParty,h_ruVotes,h_rawMargin,h_decMargin,p_winner,p_party,p_winVotes,p_totalVotes,p_runnerUp,p_ruParty,p_ruVotes,p_rawMargin,p_decMargin,s_writein,s_winner,s_party,s_winVotes,s_totalVotes,s_runnerUp,s_ruParty,s_ruVotes,s_rawMargin,s_decMargin
2006,Alabama,1,0.0,0.0,False,Jo Bonner,republican,112944.0,165841.0,Vivian Sheffield Beckerle,democrat,52770.0,60174.0,0.3628415168745968,,,,,,,,,,,,,,,,,,,
2006,Alabama,1,0.0,0.0,False,Jo Bonner,republican,112944.0,165841.0,Vivian Sheffield Beckerle,democrat,52770.0,60174.0,0.3628415168745968,,,,,,,,,,,,,,,,,,,
2006,Alabama,2,0.0,0.0,False,Terry Everett,republican,124302.0,178919.0,Charles (Chuck) Dean James,democrat,54450.0,69852.0,0.3904113034389863,,,,,,,,,,,,,,,,,,,
2006,Alabama,2,0.0,0.0,False,Terry Everett,republican,124302.0,178919.0,Charles (Chuck) Dean James,democrat,54450.0,69852.0,0.3904113034389863,,,,,,,,,,,,,,,,,,,
2006,Alabama,3,0.0,0.0,False,Mike Rogers,republican,98257.0,165301.0,Greg A. Pierce,democrat,63559.0,34698.0,0.209907986037592,,,,,,,,,,,,,,,,,,,
2006,Alabama,3,0.0,0.0,False,Mike Rogers,republican,98257.0,165301.0,Greg A. Pierce,democrat,63559.0,34698.0,0.209907986037592,,,,,,,,,,,,,,,,,,,
2006,Alabama,4,0.0,0.0,False,Robert B. Aderholt,republican,128484.0,183072.0,Barbara Bobo,democrat,54382.0,74102.0,0.4047697080929907,,,,,,,,,,,,,,,,,,,
2006,Alabama,4,0.0,0.0,False,Robert B. Aderholt,republican,128484.0,183072.0,Barbara Bobo,democrat,54382.0,74102.0,0.4047697080929907,,,,,,,,,,,,,,,,,,,
2006,Alabama,5,0.0,0.0,False,"Robert E. (Bud) Cramer, Jr.",democrat,143015.0,145555.0,,,2540.0,140475.0,0.9650991034316924,,,,,,,,,,,,,,,,,,,
2006,Alabama,5,0.0,0.0,False,"Robert E. (Bud) Cramer, Jr.",democrat,143015.0,145555.0,,,2540.0,140475.0,0.9650991034316924,,,,,,,,,,,,,,,,,,,
2006,Alabama,6,0.0,0.0,False,Spencer Bachus,republican,163514.0,166300.0,,,2786.0,160728.0,0.9664942874323512,,,,,,,,,,,,,,,,,,,
2006,Alabama,6,0.0,0.0,False,Spencer Bachus,republican,163514.0,166300.0,,,2786.0,160728.0,0.9664942874323512,,,,,,,,,,,,,,,,,,,
2006,Alabama,7,0.0,0.0,False,Artur Davis,democrat,133870.0,135164.0,,,1294.0,132576.0,0.9808528898227338,,,,,,,,,,,,,,,,,,,
2006,Alabama,7,0.0,0.0,False,Artur Davis,democrat,133870.0,135164.0,,,1294.0,132576.0,0.9808528898227338,,,,,,,,,,,,,,,,,,,
2006,Alaska,0,0.0,0.0,False,Don Young,republican,132743.0,234645.0,Diane E. Benson,democrat,93879.0,38864.0,0.1656289288073473,,,,,,,,,,,,,,,,,,,
2006,Alaska,0,0.0,0.0,False,Don Young,republican,132743.0,234645.0,Diane E. Benson,democrat,93879.0,38864.0,0.1656289288073473,,,,,,,,,,,,,,,,,,,
2006,Arizona,1,0.0,0.0,False,Rick Renzi,republican,105646.0,204139.0,Ellen Simon,democrat,88691.0,16955.0,0.0830561529154154,,,,,,,,,,0.0,Jon Kyl,republican,814398.0,1526782.0,Jim Pederson,democrat,664141.0,150257.0,0.0984141809374226
2006,Arizona,1,0.0,0.0,False,Rick Renzi,republican,105646.0,204139.0,Ellen Simon,democrat,88691.0,16955.0,0.0830561529154154,,,,,,,,,,0.0,Jon Kyl,republican,814398.0,1526782.0,Jim Pederson,democrat,664141.0,150257.0,0.0984141809374226
2006,Arizona,1,0.0,0.0,False,Rick Renzi,republican,105646.0,204139.0,Ellen Simon,democrat,88691.0,16955.0,0.0830561529154154,,,,,,,,,,0.0,Jon Kyl,republican,814398.0,1526782.0,Jim Pederson,democrat,664141.0,150257.0,0.0984141809374226
2006,Arizona,1,0.0,0.0,False,Rick Renzi,republican,105646.0,204139.0,Ellen Simon,democrat,88691.0,16955.0,0.0830561529154154,,,,,,,,,,0.0,Jon Kyl,republican,814398.0,1526782.0,Jim Pederson,democrat,664141.0,150257.0,0.0984141809374226
2006,Arizona,2,0.0,0.0,False,Trent Franks,republican,135150.0,230560.0,John Thrasher,democrat,89671.0,45479.0,0.1972545107564192,,,,,,,,,,0.0,Jon Kyl,republican,814398.0,1526782.0,Jim Pederson,democrat,664141.0,150257.0,0.0984141809374226
2006,Arizona,2,0.0,0.0,False,Trent Franks,republican,135150.0,230560.0,John Thrasher,democrat,89671.0,45479.0,0.1972545107564192,,,,,,,,,,0.0,Jon Kyl,republican,814398.0,1526782.0,Jim Pederson,democrat,664141.0,150257.0,0.0984141809374226
2006,Arizona,2,0.0,0.0,False,Trent Franks,republican,135150.0,230560.0,John Thrasher,democrat,89671.0,45479.0,0.1972545107564192,,,,,,,,,,0.0,Jon Kyl,republican,814398.0,1526782.0,Jim Pederson,democrat,664141.0,150257.0,0.0984141809374226
