year,state,district,h_writein,h_special,h_runoff,h_winner,h_party,h_winVotes,h_totalVotes,h_runnerUp,h_ruParty,h_ruVotes,h_rawMargin,h_decMargin,p_winner,p_party,p_winVotes,p_totalVotes,p_runnerUp,p_ruParty,p_ruVotes,p_rawMargin,p_decMargin,s_writein,s_winner,s_party,s_winVotes,s_totalVotes,s_runnerUp,s_ruParty,s_ruVotes,s_rawMargin,s_decMargin
2016,Alabama,1,0.0,0.0,,Bradley Byrne,republican,208083.0,215893.0,,,7810.0,200273.0,0.9276493448143291,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,1,0.0,0.0,,Bradley Byrne,republican,208083.0,215893.0,,,7810.0,200273.0,0.9276493448143291,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,1,0.0,0.0,,Bradley Byrne,republican,208083.0,215893.0,,,7810.0,200273.0,0.9276493448143291,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,1,0.0,0.0,,Bradley Byrne,republican,208083.0,215893.0,,,7810.0,200273.0,0.9276493448143291,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,1,0.0,0.0,,Bradley Byrne,republican,208083.0,215893.0,,,7810.0,200273.0,0.9276493448143291,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,1,0.0,0.0,,Bradley Byrne,republican,208083.0,215893.0,,,7810.0,200273.0,0.9276493448143291,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,1,0.0,0.0,,Bradley Byrne,republican,208083.0,215893.0,,,7810.0,200273.0,0.9276493448143291,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,1,0.0,0.0,,Bradley Byrne,republican,208083.0,215893.0,,,7810.0,200273.0,0.9276493448143291,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,2,0.0,0.0,,Martha Roby,republican,134886.0,276584.0,Nathan Mathis,democrat,112089.0,22797.0,0.08242342290226479,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,2,0.0,0.0,,Martha Roby,republican,134886.0,276584.0,Nathan Mathis,democrat,112089.0,22797.0,0.08242342290226479,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,2,0.0,0.0,,Martha Roby,republican,134886.0,276584.0,Nathan Mathis,democrat,112089.0,22797.0,0.08242342290226479,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,2,0.0,0.0,,Martha Roby,republican,134886.0,276584.0,Nathan Mathis,democrat,112089.0,22797.0,0.08242342290226479,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,2,0.0,0.0,,Martha Roby,republican,134886.0,276584.0,Nathan Mathis,democrat,112089.0,22797.0,0.08242342290226479,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,2,0.0,0.0,,Martha Roby,republican,134886.0,276584.0,Nathan Mathis,democrat,112089.0,22797.0,0.08242342290226479,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,2,0.0,0.0,,Martha Roby,republican,134886.0,276584.0,Nathan Mathis,democrat,112089.0,22797.0,0.08242342290226479,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,2,0.0,0.0,,Martha Roby,republican,134886.0,276584.0,Nathan Mathis,democrat,112089.0,22797.0,0.08242342290226479,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,3,0.0,0.0,,Mike Rogers,republican,192164.0,287104.0,Jesse Smith,democrat,94549.0,97615.0,0.3399987460989746,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,3,0.0,0.0,,Mike Rogers,republican,192164.0,287104.0,Jesse Smith,democrat,94549.0,97615.0,0.3399987460989746,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,3,0.0,0.0,,Mike Rogers,republican,192164.0,287104.0,Jesse Smith,democrat,94549.0,97615.0,0.3399987460989746,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,3,0.0,0.0,,Mike Rogers,republican,192164.0,287104.0,Jesse Smith,democrat,94549.0,97615.0,0.3399987460989746,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,3,0.0,0.0,,Mike Rogers,republican,192164.0,287104.0,Jesse Smith,democrat,94549.0,97615.0,0.3399987460989746,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,3,0.0,0.0,,Mike Rogers,republican,192164.0,287104.0,Jesse Smith,democrat,94549.0,97615.0,0.3399987460989746,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,3,0.0,0.0,,Mike Rogers,republican,192164.0,287104.0,Jesse Smith,democrat,94549.0,97615.0,0.3399987460989746,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,3,0.0,0.0,,Mike Rogers,republican,192164.0,287104.0,Jesse Smith,democrat,94549.0,97615.0,0.3399987460989746,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,4,0.0,0.0,,Robert B. Aderholt,republican,235925.0,239444.0,,,3519.0,232406.0,0.9706069059988977,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,4,0.0,0.0,,Robert B. Aderholt,republican,235925.0,239444.0,,,3519.0,232406.0,0.9706069059988977,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,4,0.0,0.0,,Robert B. Aderholt,republican,235925.0,239444.0,,,3519.0,232406.0,0.9706069059988977,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,4,0.0,0.0,,Robert B. Aderholt,republican,235925.0,239444.0,,,3519.0,232406.0,0.9706069059988977,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,4,0.0,0.0,,Robert B. Aderholt,republican,235925.0,239444.0,,,3519.0,232406.0,0.9706069059988977,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,4,0.0,0.0,,Robert B. Aderholt,republican,235925.0,239444.0,,,3519.0,232406.0,0.9706069059988977,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,4,0.0,0.0,,Robert B. Aderholt,republican,235925.0,239444.0,,,3519.0,232406.0,0.9706069059988977,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,4,0.0,0.0,,Robert B. Aderholt,republican,235925.0,239444.0,,,3519.0,232406.0,0.9706069059988977,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,5,0.0,0.0,,Mo Brooks,republican,205647.0,308326.0,"Will Boyd, Jr.",democrat,102234.0,103413.0,0.3354014906300474,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,5,0.0,0.0,,Mo Brooks,republican,205647.0,308326.0,"Will Boyd, Jr.",democrat,102234.0,103413.0,0.3354014906300474,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,5,0.0,0.0,,Mo Brooks,republican,205647.0,308326.0,"Will Boyd, Jr.",democrat,102234.0,103413.0,0.3354014906300474,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,5,0.0,0.0,,Mo Brooks,republican,205647.0,308326.0,"Will Boyd, Jr.",democrat,102234.0,103413.0,0.3354014906300474,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,5,0.0,0.0,,Mo Brooks,republican,205647.0,308326.0,"Will Boyd, Jr.",democrat,102234.0,103413.0,0.3354014906300474,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,5,0.0,0.0,,Mo Brooks,republican,205647.0,308326.0,"Will Boyd, Jr.",democrat,102234.0,103413.0,0.3354014906300474,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,5,0.0,0.0,,Mo Brooks,republican,205647.0,308326.0,"Will Boyd, Jr.",democrat,102234.0,103413.0,0.3354014906300474,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,5,0.0,0.0,,Mo Brooks,republican,205647.0,308326.0,"Will Boyd, Jr.",democrat,102234.0,103413.0,0.3354014906300474,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
2016,Alabama,6,0.0,0.0,,Gary J. Palmer,republican,245313.0,329306.0,David J. Putnam,democrat,83709.0,161604.0,0.4907411343856474,"Trump, Donald J.",republican,1318255.0,2123372.0,"Clinton, Hillary",democrat,729547.0,588708.0,0.27725146606435425,0.0,Richard C. Shelby,republican,1335104.0,2087444.0,Ron Crumpton,democrat,748709.0,586395.0,0.2809153203630852
