year,state,district,h_writein,h_special,h_runoff,h_winner,h_party,h_winVotes,h_totalVotes,h_runnerUp,h_ruParty,h_ruVotes,h_rawMargin,h_decMargin,p_winner,p_party,p_winVotes,p_totalVotes,p_runnerUp,p_ruParty,p_ruVotes,p_rawMargin,p_decMargin,s_writein,s_winner,s_party,s_winVotes,s_totalVotes,s_runnerUp,s_ruParty,s_ruVotes,s_rawMargin,s_decMargin
2000,Alabama,1,0.0,0.0,False,Sonny Callahan,republican,151188.0,165669.0,Dick Coffee,libertarian,14031.0,137157.0,0.8278977962081017,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,1,0.0,0.0,False,Sonny Callahan,republican,151188.0,165669.0,Dick Coffee,libertarian,14031.0,137157.0,0.8278977962081017,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,1,0.0,0.0,False,Sonny Callahan,republican,151188.0,165669.0,Dick Coffee,libertarian,14031.0,137157.0,0.8278977962081017,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,1,0.0,0.0,False,Sonny Callahan,republican,151188.0,165669.0,Dick Coffee,libertarian,14031.0,137157.0,0.8278977962081017,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,2,0.0,0.0,False,Terry Everett,republican,151830.0,222636.0,Charles Woods,democrat,64958.0,86872.0,0.3901974523437359,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,2,0.0,0.0,False,Terry Everett,republican,151830.0,222636.0,Charles Woods,democrat,64958.0,86872.0,0.3901974523437359,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,2,0.0,0.0,False,Terry Everett,republican,151830.0,222636.0,Charles Woods,democrat,64958.0,86872.0,0.3901974523437359,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,2,0.0,0.0,False,Terry Everett,republican,151830.0,222636.0,Charles Woods,democrat,64958.0,86872.0,0.3901974523437359,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,3,0.0,0.0,False,Bob Riley,republican,147317.0,169519.0,John Sophocleus,libertarian,21119.0,126198.0,0.7444475250561884,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,3,0.0,0.0,False,Bob Riley,republican,147317.0,169519.0,John Sophocleus,libertarian,21119.0,126198.0,0.7444475250561884,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,3,0.0,0.0,False,Bob Riley,republican,147317.0,169519.0,John Sophocleus,libertarian,21119.0,126198.0,0.7444475250561884,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,3,0.0,0.0,False,Bob Riley,republican,147317.0,169519.0,John Sophocleus,libertarian,21119.0,126198.0,0.7444475250561884,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,4,0.0,0.0,False,Robert B. Aderholt,republican,140009.0,231106.0,Marsha Folsom,democrat,86400.0,53609.0,0.2319671492734936,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,4,0.0,0.0,False,Robert B. Aderholt,republican,140009.0,231106.0,Marsha Folsom,democrat,86400.0,53609.0,0.2319671492734936,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,4,0.0,0.0,False,Robert B. Aderholt,republican,140009.0,231106.0,Marsha Folsom,democrat,86400.0,53609.0,0.2319671492734936,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,4,0.0,0.0,False,Robert B. Aderholt,republican,140009.0,231106.0,Marsha Folsom,democrat,86400.0,53609.0,0.2319671492734936,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,5,0.0,0.0,False,"Robert E. (Bud) Cramer, Jr.",democrat,186059.0,209514.0,Alan Barksdale,libertarian,22110.0,163949.0,0.7825204998234008,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,5,0.0,0.0,False,"Robert E. (Bud) Cramer, Jr.",democrat,186059.0,209514.0,Alan Barksdale,libertarian,22110.0,163949.0,0.7825204998234008,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,5,0.0,0.0,False,"Robert E. (Bud) Cramer, Jr.",democrat,186059.0,209514.0,Alan Barksdale,libertarian,22110.0,163949.0,0.7825204998234008,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,5,0.0,0.0,False,"Robert E. (Bud) Cramer, Jr.",democrat,186059.0,209514.0,Alan Barksdale,libertarian,22110.0,163949.0,0.7825204998234008,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,6,0.0,0.0,False,Spencer Bachus,republican,212751.0,241917.0,Terry Reagin,libertarian,28189.0,184562.0,0.7629145533385417,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,6,0.0,0.0,False,Spencer Bachus,republican,212751.0,241917.0,Terry Reagin,libertarian,28189.0,184562.0,0.7629145533385417,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,6,0.0,0.0,False,Spencer Bachus,republican,212751.0,241917.0,Terry Reagin,libertarian,28189.0,184562.0,0.7629145533385417,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,6,0.0,0.0,False,Spencer Bachus,republican,212751.0,241917.0,Terry Reagin,libertarian,28189.0,184562.0,0.7629145533385417,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,7,0.0,0.0,False,Earl F. Hilliard,democrat,148243.0,198633.0,Ed Martin,republican,46134.0,102109.0,0.5140585904658339,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
2000,Alabama,7,0.0,0.0,False,Earl F. Hilliard,democrat,148243.0,198633.0,Ed Martin,republican,46134.0,102109.0,0.5140585904658339,"Bush, George W.",republican,941173.0,1666272.0,"Gore, Al",democrat,692611.0,248562.0,0.1491725240536959,,,,,,,,,,
