year,state,district,h_writein,h_special,h_runoff,h_winner,h_party,h_winVotes,h_totalVotes,h_runnerUp,h_ruParty,h_ruVotes,h_rawMargin,h_decMargin,p_winner,p_party,p_winVotes,p_totalVotes,p_runnerUp,p_ruParty,p_ruVotes,p_rawMargin,p_decMargin,s_writein,s_winner,s_party,s_winVotes,s_totalVotes,s_runnerUp,s_ruParty,s_ruVotes,s_rawMargin,s_decMargin
2014,Alabama,1,0.0,0.0,,Bradley Byrne,republican,103758.0,152234.0,Burton R. LeFlore,democrat,48278.0,55480.0,0.36443895581801705,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,1,0.0,0.0,,Bradley Byrne,republican,103758.0,152234.0,Burton R. LeFlore,democrat,48278.0,55480.0,0.36443895581801705,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,1,0.0,0.0,,Bradley Byrne,republican,103758.0,152234.0,Burton R. LeFlore,democrat,48278.0,55480.0,0.36443895581801705,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,1,0.0,0.0,,Bradley Byrne,republican,103758.0,152234.0,Burton R. LeFlore,democrat,48278.0,55480.0,0.36443895581801705,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,2,0.0,0.0,,Martha Roby,republican,113103.0,167952.0,Erick Wright,democrat,54692.0,58411.0,0.3477838906354196,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,2,0.0,0.0,,Martha Roby,republican,113103.0,167952.0,Erick Wright,democrat,54692.0,58411.0,0.3477838906354196,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,2,0.0,0.0,,Martha Roby,republican,113103.0,167952.0,Erick Wright,democrat,54692.0,58411.0,0.3477838906354196,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,2,0.0,0.0,,Martha Roby,republican,113103.0,167952.0,Erick Wright,democrat,54692.0,58411.0,0.3477838906354196,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,3,0.0,0.0,,Mike Rogers,republican,103558.0,156620.0,Jesse T. Smith,democrat,52816.0,50742.0,0.3239816115438641,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,3,0.0,0.0,,Mike Rogers,republican,103558.0,156620.0,Jesse T. Smith,democrat,52816.0,50742.0,0.3239816115438641,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,3,0.0,0.0,,Mike Rogers,republican,103558.0,156620.0,Jesse T. Smith,democrat,52816.0,50742.0,0.3239816115438641,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,3,0.0,0.0,,Mike Rogers,republican,103558.0,156620.0,Jesse T. Smith,democrat,52816.0,50742.0,0.3239816115438641,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,4,0.0,0.0,,Robert B. Aderholt,republican,132831.0,134752.0,,,1921.0,130910.0,0.9714883638090714,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,4,0.0,0.0,,Robert B. Aderholt,republican,132831.0,134752.0,,,1921.0,130910.0,0.9714883638090714,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,4,0.0,0.0,,Robert B. Aderholt,republican,132831.0,134752.0,,,1921.0,130910.0,0.9714883638090714,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
2014,Alabama,4,0.0,0.0,,Robert B. Aderholt,republican,132831.0,134752.0,,,1921.0,130910.0,0.9714883638090714,,,,,,,,,,0.0,Jeff Sessions,republican,795606.0,818090.0,,,22484.0,773122.0,0.9450329425857792
